state,sex,race,age,year_1999,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016
-1.0,0.0,0.0,-1.0,945094.9763962408,932240.2864959509,931233.5860341648,932678.357638693,931190.310789642,920214.1211228163,927502.1514934757,941905.9000721594,948242.2597552772,952896.9734722555,962787.6501325058,964606.2642565722,984842.5364465275,1002413.7493453834,1014254.7391174134,1029855.0148933259,1046913.7419897724,1060991.912982696
-1.0,0.0,1.0,-1.0,135125.73055426346,133072.40263265572,132197.32527573296,135624.16346662084,135112.11514495165,132531.8760975885,131124.2745510649,133804.6727291334,135603.79057716992,135634.51071475883,135880.23864904465,138844.61741964048,141726.25579179463,143886.86308677192,145967.4194847306,147215.6882497373,151066.8554481568,152525.19921756737
-1.0,0.0,2.0,-1.0,53528.01155501109,55604.55619174938,57338.0511540025,59237.3705307593,60812.552448069684,62024.506818882786,63324.60634921351,65766.56200182158,66339.76459811718,70486.19846247969,72059.53297319707,74839.70418220095,78565.39301624043,81177.1592019207,83638.89419871107,88124.35605446447,89258.4289744319,95093.61402375934
-1.0,0.0,3.0,-1.0,21407.935452962134,21732.496447435904,23942.739067695657,25069.090129340075,25390.273129018537,25764.27086823942,26554.535713859554,28651.83802530625,28965.65262678194,29566.674037455326,31191.048726484758,31910.29486451133,33656.84006615565,35586.918708127036,37167.96953321725,37942.04995474649,40289.518403884016,41544.18708529199
-1.0,1.0,0.0,-1.0,1024104.9352264032,1007995.1277040306,1021919.1867385551,1013547.0438599692,1008234.5701175916,999367.2763672698,996807.6456348444,1000963.8630357535,1000858.426535424,1003903.265982867,1007497.3877185123,1006532.5684075638,1025249.809524627,1026922.1864825921,1033614.237111064,1041030.3622926736,1048680.4317506535,1051296.5208644087
-1.0,1.0,1.0,-1.0,134023.66152226884,132783.06732770393,133655.97095840215,133464.03698033723,133209.2989893432,131771.4733471284,131755.49486617048,133479.1888197702,132613.64975264156,135346.74656162554,135864.48900187746,136945.8963243737,140775.97837370686,140994.90217321386,142714.28882917468,145114.4428130272,145316.91498918083,145978.20564677636
-1.0,1.0,2.0,-1.0,43044.313512362954,44950.75037111161,47380.72680259242,48771.13086907826,49329.40985861357,50528.27459978435,52178.26739315985,54534.1621426859,55675.95578832695,57210.38901214539,60438.023297347856,62097.72757856218,64215.824516909364,67077.08348580575,70438.59024946696,73295.19654421987,75666.50256107665,79466.5629747529
-1.0,1.0,3.0,-1.0,18483.670049054897,19336.41790704237,21007.608429821456,21263.150135470318,22914.16556775927,23448.75550635256,24919.966807603847,26031.394103889244,26567.72121675299,27987.871622564784,28547.50180523976,29793.59467187014,31695.696366929067,32157.11738975608,33795.514624785166,35733.135308307625,38329.173964655434,39756.4533433993
-1.0,0.0,-1.0,0.0,11619.917688942318,12369.785780696691,13079.587527404203,14119.772193300141,14199.855576424781,14440.057631259224,14389.98506815188,14249.96280496318,14019.913769720473,13959.953528634478,13619.937244833567,13440.00362505342,14280.064875558046,14389.797307837089,14240.098027438402,14239.756323393076,14169.844602638577,13659.710816954563
-1.0,0.0,-1.0,1.0,27389.871952681497,27319.876786660767,27479.935991494804,27909.92127358033,27850.023803496082,28009.70676320287,27559.91013870024,27579.931384513235,28039.88364509633,28569.960177612007,28989.84396617247,29949.875487044486,31029.77977344457,31519.889201726754,32409.820381288624,32899.71581977482,33659.77760495434,34679.78615644487
-1.0,0.0,-1.0,2.0,56659.68647131855,56029.706861219,55519.92295719044,54949.52951301552,54039.82414625726,52309.47465168776,50169.706452667684,49969.69200285561,48369.726955715974,47489.797763078874,46129.752968262226,44250.04336786857,44539.656801259225,44239.81382063225,43500.01806666303,43509.678273997066,43369.84982528306,43429.503519126454
-1.0,0.0,-1.0,3.0,96219.07711393772,100819.4647500616,103179.48196576371,105439.81767385185,109209.55342102947,107519.14698106462,108499.4651218451,111419.45130412915,113089.95357527125,111619.18793146388,111699.259459618,110039.38752903494,111149.94746988904,106959.3046287558,107389.51920302304,104379.14062104706,101939.61818620039,100349.26565612387
-1.0,0.0,-1.0,4.0,142128.49630934652,140408.8470665375,144638.87006781227,149038.3333726722,153868.62172008754,154839.2471469412,160388.72436543574,168629.21938863298,172658.34121058387,174969.46741994817,179109.1510204243,186898.2983968667,197508.91121258304,201599.0772699199,202469.14032934868,208788.94379076874,215228.71991432656,219429.95583796647
-1.0,0.0,-1.0,5.0,258285.95391669666,242667.75488246887,237086.79078264695,235045.8485190584,228044.52657182954,219084.58325341297,217678.4009910791,216187.45961862322,220386.94045262036,224689.29473141072,228047.37093350582,231557.4782117822,235056.11224878673,247349.2567037749,255708.76103256145,267458.3046388328,279508.5755134706,288209.2772440568
-1.0,0.0,-1.0,6.0,344174.5662093256,340446.80382324936,340966.31732068775,339223.0373393776,335488.6908142947,331094.3275866739,330002.84953194374,327744.3682731228,322926.8744317204,319893.32933100883,317838.05042399175,313669.81604611635,310394.265163175,313246.57528302923,314298.1240079117,315147.0662001191,316858.4069420513,323072.60048413865
-1.0,0.0,-1.0,7.0,210518.13713068567,216091.67213493824,215192.08867594975,219022.20479263284,222296.14580217155,226353.1810060828,232403.89879734628,246566.51498451948,253614.44229632444,259661.1639684193,269327.03030315886,273399.130409916,286754.6998009534,296016.69359903334,303346.25955690554,309624.1134424018,315462.20622763236,319949.13096603064
-1.0,1.0,-1.0,0.0,4309.980111817149,4429.945364361788,4729.850174501274,4769.948114293414,4999.948229588109,5009.956500291588,4969.944828163811,4929.981167425729,4909.955779991689,4899.969170883877,4829.985635576185,4769.898319116703,4809.986019230142,4789.991247572464,4759.940233720163,4679.967753515623,4559.966042583487,4549.946753634519
